age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[0, 40)",Private,160178,Some-college,10,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,38,North America, <=50K
"[0, 40)",Private,190040,Bachelors,13,Spouse not present,Machine-op-inspct, Not-in-family,*,Female,0,0,40,North America, <=50K
"[0, 40)",Self-emp-not-inc,189346,Some-college,10,Spouse not present,Craft-repair, Not-in-family,*,Male,2202,0,50,North America, <=50K
"[40, 80)",Private,108435,Masters,14,Spouse present,Prof-specialty, Husband,*,Male,0,0,47,North America, >50K
"[40, 80)",Self-emp-not-inc,93664,HS-grad,9,Spouse present,Exec-managerial, Husband,*,Male,15024,0,60,North America, >50K
"[0, 40)",Private,148431,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,313321,Assoc-acdm,12,Spouse not present,Sales, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,71417,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,3103,0,40,North America, >50K
"[0, 40)",Private,271013,HS-grad,9,Spouse not present,Handlers-cleaners, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,161819,11th,7,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,25,North America, <=50K
"[40, 80)",Private,99212,Assoc-voc,11,Spouse present,Exec-managerial, Husband,*,Male,3103,0,48,North America, >50K
"[40, 80)",Self-emp-inc,179951,Prof-school,15,Spouse present,Exec-managerial, Husband,*,Male,0,0,40,North America, <=50K
"[0, 40)",Self-emp-not-inc,267161,Bachelors,13,Spouse not present,Exec-managerial, Unmarried,*,Female,0,0,30,North America, <=50K
"[40, 80)",Private,439919,9th,5,Spouse present,Machine-op-inspct, Husband,*,Male,0,0,40,North America, <=50K
"[0, 40)",State-gov,93589,HS-grad,9,Spouse not present,Protective-serv, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,227594,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,30,North America, <=50K
"[0, 40)",Local-gov,159187,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,35,North America, <=50K
"[0, 40)",Private,237903,Bachelors,13,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,40,North America, <=50K
"[0, 40)",Federal-gov,129707,Some-college,10,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,50,North America, <=50K
"[0, 40)",Private,231562,HS-grad,9,Spouse not present,Sales, Own-child,*,Female,0,0,33,North America, <=50K
"[40, 80)",Private,195813,5th-6th,3,Spouse present,Craft-repair, Husband,*,Male,5178,0,40,North America, >50K
"[0, 40)",Private,260254,HS-grad,9,Spouse not present,Sales, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,94392,11th,7,Spouse not present,Other-service, Unmarried,*,Female,0,0,20,North America, <=50K
"[0, 40)",Federal-gov,329426,Bachelors,13,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,188476,11th,7,Spouse not present,Exec-managerial, Own-child,*,Male,0,0,20,North America, <=50K
"[0, 40)",Private,456399,Assoc-acdm,12,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,184303,Some-college,10,Spouse not present,Priv-house-serv, Other-relative,*,Female,0,0,30,North America, <=50K
"[0, 40)",Private,160035,Some-college,10,Spouse not present,Machine-op-inspct, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,107231,Prof-school,15,Spouse present,Exec-managerial, Husband,*,Male,99999,0,50,North America, >50K
"[40, 80)",Private,38360,HS-grad,9,Spouse not present,Other-service, Unmarried,*,Female,0,0,16,North America, <=50K
"[40, 80)",Federal-gov,232997,Some-college,10,Spouse present,Transport-moving, Husband,*,Male,0,0,65,North America, >50K
"[40, 80)",Self-emp-inc,145290,HS-grad,9,Spouse present,Other-service, Husband,*,Male,0,0,40,North America, >50K
"[40, 80)",Local-gov,257855,11th,7,Spouse present,Other-service, Husband,*,Male,0,0,50,North America, <=50K
"[0, 40)",Private,347530,HS-grad,9,Spouse not present,Other-service, Unmarried,*,Female,0,0,25,North America, <=50K
"[40, 80)",?,178556,10th,6,Spouse present,?, Husband,*,Male,0,0,56,North America, >50K
"[40, 80)",Private,155659,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,North America, >50K
"[40, 80)",Private,135044,HS-grad,9,Spouse not present,Machine-op-inspct, Not-in-family,*,Female,0,0,40,North America, <=50K
"[0, 40)",?,193416,Some-college,10,Spouse not present,?, Own-child,*,Female,0,0,40,North America, <=50K
"[0, 40)",Federal-gov,352768,HS-grad,9,Spouse not present,Adm-clerical, Own-child,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,121127,10th,6,Spouse not present,Sales, Not-in-family,*,Female,0,0,40,North America, <=50K
"[0, 40)",Private,84747,HS-grad,9,Spouse not present,Sales, Own-child,*,Female,0,0,24,North America, <=50K
"[40, 80)",Local-gov,291175,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Female,0,0,48,North America, <=50K
"[0, 40)",Private,162494,Bachelors,13,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",State-gov,227734,HS-grad,9,Spouse present,Adm-clerical, Husband,*,Male,3464,0,40,North America, <=50K
"[0, 40)",Private,283499,HS-grad,9,Spouse not present,Transport-moving, Not-in-family,*,Male,0,0,35,North America, <=50K
"[0, 40)",Private,33887,Some-college,10,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,278151,HS-grad,9,Spouse present,Protective-serv, Husband,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,113466,HS-grad,9,Spouse not present,Sales, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,172047,HS-grad,9,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",State-gov,28366,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,227310,Some-college,10,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,106023,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,North America, >50K
"[0, 40)",Private,294253,HS-grad,9,Spouse not present,Other-service, Own-child,*,Female,0,0,27,North America, <=50K
"[0, 40)",Private,152461,Bachelors,13,Spouse not present,Prof-specialty, Unmarried,*,Female,14344,0,50,North America, >50K
"[0, 40)",Private,336793,Bachelors,13,Spouse not present,Adm-clerical, Other-relative,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,110970,Bachelors,13,Spouse present,Prof-specialty, Husband,*,Male,0,1902,40,North America, >50K
"[0, 40)",Private,188540,Bachelors,13,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,175614,Assoc-voc,11,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,40,North America, >50K
"[40, 80)",Private,161510,Bachelors,13,Spouse present,Sales, Husband,*,Male,7298,0,40,North America, >50K
"[0, 40)",Local-gov,386949,HS-grad,9,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,25,North America, <=50K
"[40, 80)",Private,104996,7th-8th,4,Spouse present,Transport-moving, Husband,*,Male,0,0,50,North America, <=50K
"[0, 40)",Private,217961,Some-college,10,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,15,North America, <=50K
"[40, 80)",Private,109463,Some-college,10,Spouse not present,Sales, Unmarried,*,Female,0,1617,33,North America, <=50K
"[0, 40)",Private,236262,11th,7,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,12,North America, <=50K
"[40, 80)",?,103654,HS-grad,9,Spouse not present,?, Not-in-family,*,Female,0,0,20,North America, <=50K
"[0, 40)",Private,99374,Some-college,10,Spouse not present,Craft-repair, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",?,224421,Some-college,10,Spouse not present,?, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,33088,11th,7,Spouse not present,Handlers-cleaners, Not-in-family,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,93056,7th-8th,4,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,40,North America, <=50K
"[40, 80)",Private,386136,HS-grad,9,Spouse present,Transport-moving, Husband,*,Male,0,0,35,North America, <=50K
"[0, 40)",?,195767,HS-grad,9,Spouse not present,?, Own-child,*,Male,0,0,40,North America, <=50K
