age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[0, 80)",Private,160178,Some-college,10,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,38,*, <=50K
"[0, 80)",State-gov,50567,HS-grad,9,Spouse present,Exec-managerial, Wife,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,185908,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,55,*, >50K
"[0, 80)",Private,190040,Bachelors,13,Spouse not present,Machine-op-inspct, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Self-emp-not-inc,189346,Some-college,10,Spouse not present,Craft-repair, Not-in-family,*,Male,2202,0,50,*, <=50K
"[0, 80)",Private,108435,Masters,14,Spouse present,Prof-specialty, Husband,*,Male,0,0,47,*, >50K
"[0, 80)",Self-emp-not-inc,93664,HS-grad,9,Spouse present,Exec-managerial, Husband,*,Male,15024,0,60,*, >50K
"[0, 80)",Private,148431,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,313321,Assoc-acdm,12,Spouse not present,Sales, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,71417,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,3103,0,40,*, >50K
"[0, 80)",Self-emp-not-inc,241895,Bachelors,13,Spouse not present,Sales, Not-in-family,*,Male,0,0,42,*, <=50K
"[0, 80)",Private,271013,HS-grad,9,Spouse not present,Handlers-cleaners, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,152529,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,*, >50K
"[0, 80)",Private,116952,7th-8th,4,Spouse present,Prof-specialty, Wife,*,Female,0,0,45,*, <=50K
"[0, 80)",Private,226629,Some-college,10,Spouse present,Other-service, Wife,*,Female,0,0,35,*, <=50K
"[0, 80)",Private,161819,11th,7,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,25,*, <=50K
