age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[20, 40)",Private,185908,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,55,North America, >50K
"[20, 40)",Private,190040,Bachelors,13,Never-married,Machine-op-inspct, Not-in-family,*,Female,0,0,40,North America, <=50K
"[20, 40)",Self-emp-not-inc,189346,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,2202,0,50,North America, <=50K
"[40, 60)",Private,108435,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,47,North America, >50K
"[40, 60)",Self-emp-not-inc,93664,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,15024,0,60,North America, >50K
"[20, 40)",Private,148431,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 60)",Private,71417,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,3103,0,40,North America, >50K
"[40, 60)",Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales, Not-in-family,*,Male,0,0,42,North America, <=50K
"[20, 40)",Private,271013,HS-grad,9,Divorced,Handlers-cleaners, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,152529,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, >50K
"[40, 60)",Private,99212,Assoc-voc,11,Married-civ-spouse,Exec-managerial, Husband,*,Male,3103,0,48,North America, >50K
"[40, 60)",Self-emp-inc,179951,Prof-school,15,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,North America, <=50K
"[20, 40)",State-gov,93589,HS-grad,9,Divorced,Protective-serv, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,227594,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,30,North America, <=50K
"[20, 40)",Private,50295,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,48,North America, <=50K
"[20, 40)",Local-gov,159187,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,35,North America, <=50K
"[40, 60)",Private,167963,HS-grad,9,Never-married,Adm-clerical, Unmarried,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,237903,Bachelors,13,Never-married,Prof-specialty, Unmarried,*,Female,0,0,40,North America, <=50K
"[20, 40)",Federal-gov,129707,Some-college,10,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,50,North America, <=50K
"[40, 60)",Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair, Husband,*,Male,5178,0,40,North America, >50K
"[20, 40)",Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",Private,260254,HS-grad,9,Never-married,Sales, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,1902,40,North America, >50K
