age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
*,Private,160178,Some-college,10,*,Adm-clerical, Not-in-family,*,Female,0,0,38,*, <=50K
*,State-gov,50567,HS-grad,9,*,Exec-managerial, Wife,*,Female,0,0,40,*, <=50K
*,Private,185908,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,55,*, >50K
*,Private,190040,Bachelors,13,*,Machine-op-inspct, Not-in-family,*,Female,0,0,40,*, <=50K
*,Self-emp-not-inc,189346,Some-college,10,*,Craft-repair, Not-in-family,*,Male,2202,0,50,*, <=50K
*,Private,108435,Masters,14,*,Prof-specialty, Husband,*,Male,0,0,47,*, >50K
*,Self-emp-not-inc,93664,HS-grad,9,*,Exec-managerial, Husband,*,Male,15024,0,60,*, >50K
*,Private,148431,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
*,Private,313321,Assoc-acdm,12,*,Sales, Not-in-family,*,Female,0,0,40,*, <=50K
*,Private,71417,HS-grad,9,*,Craft-repair, Husband,*,Male,3103,0,40,*, >50K
*,Self-emp-not-inc,241895,Bachelors,13,*,Sales, Not-in-family,*,Male,0,0,42,*, <=50K
*,Private,271013,HS-grad,9,*,Handlers-cleaners, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,152529,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,40,*, >50K
*,Private,116952,7th-8th,4,*,Prof-specialty, Wife,*,Female,0,0,45,*, <=50K
*,Private,226629,Some-college,10,*,Other-service, Wife,*,Female,0,0,35,*, <=50K
*,Private,161819,11th,7,*,Adm-clerical, Unmarried,*,Female,0,0,25,*, <=50K
*,Private,99212,Assoc-voc,11,*,Exec-managerial, Husband,*,Male,3103,0,48,*, >50K
*,Self-emp-inc,179951,Prof-school,15,*,Exec-managerial, Husband,*,Male,0,0,40,*, <=50K
*,Federal-gov,115433,Assoc-acdm,12,*,Adm-clerical, Wife,*,Female,7688,0,33,*, >50K
*,Self-emp-not-inc,267161,Bachelors,13,*,Exec-managerial, Unmarried,*,Female,0,0,30,*, <=50K
*,Private,439919,9th,5,*,Machine-op-inspct, Husband,*,Male,0,0,40,*, <=50K
*,State-gov,93589,HS-grad,9,*,Protective-serv, Own-child,*,Male,0,0,40,*, <=50K
