age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[0, 80)",Private,160178,Some-college,10,*,Adm-clerical, Not-in-family,*,Female,0,0,38,United-States, <=50K
"[0, 80)",State-gov,50567,HS-grad,9,*,Exec-managerial, Wife,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,185908,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,55,United-States, >50K
"[0, 80)",Private,190040,Bachelors,13,*,Machine-op-inspct, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Self-emp-not-inc,189346,Some-college,10,*,Craft-repair, Not-in-family,*,Male,2202,0,50,United-States, <=50K
"[0, 80)",Private,108435,Masters,14,*,Prof-specialty, Husband,*,Male,0,0,47,United-States, >50K
"[0, 80)",Self-emp-not-inc,93664,HS-grad,9,*,Exec-managerial, Husband,*,Male,15024,0,60,United-States, >50K
"[0, 80)",Private,148431,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,71417,HS-grad,9,*,Craft-repair, Husband,*,Male,3103,0,40,United-States, >50K
"[0, 80)",Self-emp-not-inc,241895,Bachelors,13,*,Sales, Not-in-family,*,Male,0,0,42,United-States, <=50K
"[0, 80)",Private,271013,HS-grad,9,*,Handlers-cleaners, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,152529,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,116952,7th-8th,4,*,Prof-specialty, Wife,*,Female,0,0,45,United-States, <=50K
"[0, 80)",Private,161819,11th,7,*,Adm-clerical, Unmarried,*,Female,0,0,25,United-States, <=50K
"[0, 80)",Private,99212,Assoc-voc,11,*,Exec-managerial, Husband,*,Male,3103,0,48,United-States, >50K
"[0, 80)",Self-emp-inc,179951,Prof-school,15,*,Exec-managerial, Husband,*,Male,0,0,40,United-States, <=50K
"[0, 80)",State-gov,93589,HS-grad,9,*,Protective-serv, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,227594,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,30,United-States, <=50K
"[0, 80)",Private,50295,Some-college,10,*,Exec-managerial, Husband,*,Male,0,0,48,United-States, <=50K
"[0, 80)",Local-gov,159187,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,35,United-States, <=50K
"[0, 80)",Private,237903,Bachelors,13,*,Prof-specialty, Unmarried,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Federal-gov,129707,Some-college,10,*,Exec-managerial, Not-in-family,*,Male,0,0,50,United-States, <=50K
"[0, 80)",Private,231562,HS-grad,9,*,Sales, Own-child,*,Female,0,0,33,United-States, <=50K
"[0, 80)",Private,190511,Some-college,10,*,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,260254,HS-grad,9,*,Sales, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Federal-gov,329426,Bachelors,13,*,Exec-managerial, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,167309,Bachelors,13,*,Adm-clerical, Husband,*,Male,0,1902,40,United-States, >50K
"[0, 80)",Private,188476,11th,7,*,Exec-managerial, Own-child,*,Male,0,0,20,United-States, <=50K
"[0, 80)",Private,456399,Assoc-acdm,12,*,Prof-specialty, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,96710,HS-grad,9,*,Priv-house-serv, Other-relative,*,Female,0,0,20,United-States, <=50K
"[0, 80)",Private,160035,Some-college,10,*,Machine-op-inspct, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,287190,Assoc-acdm,12,*,Adm-clerical, Unmarried,*,Male,0,0,35,United-States, <=50K
"[0, 80)",Private,107231,Prof-school,15,*,Exec-managerial, Husband,*,Male,99999,0,50,United-States, >50K
"[0, 80)",Federal-gov,232997,Some-college,10,*,Transport-moving, Husband,*,Male,0,0,65,United-States, >50K
"[0, 80)",Self-emp-inc,145290,HS-grad,9,*,Other-service, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Local-gov,257855,11th,7,*,Other-service, Husband,*,Male,0,0,50,United-States, <=50K
"[0, 80)",Private,347530,HS-grad,9,*,Other-service, Unmarried,*,Female,0,0,25,United-States, <=50K
"[0, 80)",?,178556,10th,6,*,?, Husband,*,Male,0,0,56,United-States, >50K
"[0, 80)",Private,155659,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,135044,HS-grad,9,*,Machine-op-inspct, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",?,193416,Some-college,10,*,?, Own-child,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,65353,Some-college,10,*,Transport-moving, Own-child,*,Male,3325,0,55,United-States, <=50K
"[0, 80)",Federal-gov,352768,HS-grad,9,*,Adm-clerical, Own-child,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,121127,10th,6,*,Sales, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Local-gov,206297,HS-grad,9,*,Protective-serv, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,84747,HS-grad,9,*,Sales, Own-child,*,Female,0,0,24,United-States, <=50K
"[0, 80)",Private,57052,HS-grad,9,*,Craft-repair, Husband,*,Male,2885,0,40,United-States, <=50K
"[0, 80)",Local-gov,291175,Bachelors,13,*,Prof-specialty, Not-in-family,*,Female,0,0,48,United-States, <=50K
"[0, 80)",Private,154941,Bachelors,13,*,Sales, Husband,*,Male,0,0,40,United-States, >50K
