gpa,studyweek,sleepnight,out,gender
3.9,"[10, 20)",6.0,1.0,*
3.75,"[10, 20)",7.0,1.0,*
3.15,"[10, 20)",7.0,3.0,*
3.25,"[10, 20)",6.0,1.0,*
3.925,"[0, 10)",8.0,3.0,*
3.428,"[10, 20)",8.0,2.0,*
3.8,"[0, 10)",8.0,4.0,*
3.9,"[0, 10)",8.0,1.0,*
2.9,"[20, 30)",6.0,2.0,*
3.8,"[10, 20)",8.0,1.0,*
3.85,"[0, 10)",7.0,2.5,*
3.4,"[0, 10)",7.0,3.0,*
3.5,"[10, 20)",8.0,2.0,*
3.6,"[10, 20)",6.0,3.5,*
3.925,"[0, 10)",8.0,3.0,*
3.75,"[20, 30)",6.0,0.0,*
3.7,"[10, 20)",7.0,1.0,*
3.7,"[10, 20)",7.0,1.5,*
3.6,"[0, 10)",7.0,2.0,*
3.825,"[10, 20)",7.0,1.5,*
3.2,"[10, 20)",6.0,1.0,*
3.5,"[10, 20)",7.0,1.5,*
3.0,"[20, 30)",6.0,1.5,*
3.98,"[0, 10)",7.0,1.5,*
3.1,"[0, 10)",7.0,2.0,*
3.65,"[10, 20)",6.0,2.0,*
3.7,"[0, 10)",8.0,2.0,*
3.1,"[0, 10)",8.0,1.0,*
4.0,"[10, 20)",7.0,3.0,*
2.9,"[10, 20)",6.0,3.0,*
