gpa,studyweek,sleepnight,out,gender
3.9,"[0, 20)","[5, 6)",1.0,*
3.75,"[0, 20)","[6, 7)",1.0,*
3.6,"[0, 20)","[5, 6)",4.0,*
3.15,"[0, 20)","[6, 7)",3.0,*
3.25,"[0, 20)","[5, 6)",1.0,*
3.925,"[0, 20)","[7, 8)",3.0,*
3.428,"[0, 20)","[7, 8)",2.0,*
3.8,"[0, 20)","[7, 8)",4.0,*
3.9,"[0, 20)","[7, 8)",1.0,*
4.67,"[0, 20)","[6, 7)",3.0,*
3.1,"[0, 20)","[7, 8)",3.5,*
3.8,"[0, 20)","[7, 8)",1.0,*
3.85,"[0, 20)","[6, 7)",2.5,*
3.4,"[0, 20)","[6, 7)",3.0,*
3.5,"[0, 20)","[7, 8)",2.0,*
3.6,"[0, 20)","[5, 6)",3.5,*
3.925,"[0, 20)","[7, 8)",3.0,*
3.15,"[0, 20)","[5, 6)",0.0,*
3.4,"[0, 20)","[6, 7)",2.0,*
3.7,"[0, 20)","[6, 7)",1.0,*
3.7,"[0, 20)","[6, 7)",1.5,*
3.6,"[0, 20)","[6, 7)",2.0,*
3.825,"[0, 20)","[6, 7)",1.5,*
3.2,"[0, 20)","[5, 6)",1.0,*
3.5,"[0, 20)","[6, 7)",1.5,*
3.98,"[0, 20)","[6, 7)",1.5,*
3.1,"[0, 20)","[6, 7)",2.0,*
3.65,"[0, 20)","[5, 6)",2.0,*
3.7,"[0, 20)","[7, 8)",2.0,*
3.1,"[0, 20)","[7, 8)",1.0,*
4.0,"[0, 20)","[6, 7)",3.0,*
2.9,"[0, 20)","[5, 6)",3.0,*
