gpa,studyweek,sleepnight,out,gender
3.9,"[10, 20)","[5, 6)",1.0,*
3.75,"[10, 20)","[6, 7)",1.0,*
3.15,"[10, 20)","[6, 7)",3.0,*
3.25,"[10, 20)","[5, 6)",1.0,*
3.925,"[0, 10)","[7, 8)",3.0,*
3.428,"[10, 20)","[7, 8)",2.0,*
3.8,"[0, 10)","[7, 8)",4.0,*
3.9,"[0, 10)","[7, 8)",1.0,*
4.67,"[10, 20)","[6, 7)",3.0,*
3.1,"[10, 20)","[7, 8)",3.5,*
3.8,"[10, 20)","[7, 8)",1.0,*
3.85,"[0, 10)","[6, 7)",2.5,*
3.4,"[0, 10)","[6, 7)",3.0,*
3.5,"[10, 20)","[7, 8)",2.0,*
3.6,"[10, 20)","[5, 6)",3.5,*
3.925,"[0, 10)","[7, 8)",3.0,*
3.4,"[0, 10)","[6, 7)",2.0,*
3.7,"[10, 20)","[6, 7)",1.0,*
3.7,"[10, 20)","[6, 7)",1.5,*
3.6,"[0, 10)","[6, 7)",2.0,*
3.825,"[10, 20)","[6, 7)",1.5,*
3.2,"[10, 20)","[5, 6)",1.0,*
3.5,"[20, 30)","[7, 8)",3.0,*
3.5,"[10, 20)","[6, 7)",1.5,*
3.98,"[0, 10)","[6, 7)",1.5,*
3.81,"[20, 30)","[7, 8)",2.5,*
3.1,"[0, 10)","[6, 7)",2.0,*
3.5,"[20, 30)","[7, 8)",2.0,*
3.65,"[10, 20)","[5, 6)",2.0,*
3.7,"[0, 10)","[7, 8)",2.0,*
3.1,"[0, 10)","[7, 8)",1.0,*
4.0,"[10, 20)","[6, 7)",3.0,*
3.541,"[20, 30)","[7, 8)",1.5,*
2.9,"[10, 20)","[5, 6)",3.0,*
