gpa,studyweek,sleepnight,out,gender
3.9,"[0, 20)","[4, 6)",1.0,*
3.75,"[0, 20)","[6, 8)",1.0,*
3.6,"[0, 20)","[4, 6)",4.0,*
4.0,"[20, 40)","[6, 8)",3.0,*
3.15,"[0, 20)","[6, 8)",3.0,*
3.25,"[0, 20)","[4, 6)",1.0,*
3.925,"[0, 20)","[6, 8)",3.0,*
3.428,"[0, 20)","[6, 8)",2.0,*
3.8,"[0, 20)","[6, 8)",4.0,*
3.9,"[0, 20)","[6, 8)",1.0,*
3.925,"[20, 40)","[6, 8)",2.0,*
4.67,"[0, 20)","[6, 8)",3.0,*
3.1,"[0, 20)","[6, 8)",3.5,*
3.8,"[0, 20)","[6, 8)",1.0,*
3.85,"[0, 20)","[6, 8)",2.5,*
3.4,"[0, 20)","[6, 8)",3.0,*
3.5,"[0, 20)","[6, 8)",2.0,*
3.6,"[0, 20)","[4, 6)",3.5,*
3.825,"[20, 40)","[6, 8)",4.0,*
3.925,"[0, 20)","[6, 8)",3.0,*
4.0,"[20, 40)","[6, 8)",3.0,*
3.15,"[0, 20)","[4, 6)",0.0,*
3.4,"[0, 20)","[6, 8)",2.0,*
3.7,"[0, 20)","[6, 8)",1.0,*
3.36,"[20, 40)","[6, 8)",1.0,*
3.7,"[0, 20)","[6, 8)",1.5,*
3.6,"[0, 20)","[6, 8)",2.0,*
3.825,"[0, 20)","[6, 8)",1.5,*
3.2,"[0, 20)","[4, 6)",1.0,*
3.5,"[20, 40)","[6, 8)",3.0,*
3.5,"[0, 20)","[6, 8)",1.5,*
3.98,"[0, 20)","[6, 8)",1.5,*
3.7,"[0, 20)","[4, 6)",1.0,*
3.81,"[20, 40)","[6, 8)",2.5,*
3.1,"[0, 20)","[6, 8)",2.0,*
3.5,"[20, 40)","[6, 8)",2.0,*
3.65,"[0, 20)","[4, 6)",2.0,*
3.7,"[0, 20)","[6, 8)",2.0,*
3.1,"[0, 20)","[6, 8)",1.0,*
4.0,"[0, 20)","[6, 8)",3.0,*
3.541,"[20, 40)","[6, 8)",1.5,*
2.9,"[0, 20)","[4, 6)",3.0,*
