dataset_new_id,anonymity_level,diversity_level,t_closeness
cf1fa7,6,5,0.15977443609022557
2089d8,9,7,0.1562049062049062
c09cec,9,7,0.1562049062049062
810bbd,6,5,0.15977443609022557
21cabb,8,7,0.14638157894736842
a1b61a,9,7,0.1562049062049062
8f832d,1,1,0.3043771043771042
73f844,8,7,0.14638157894736842
760a47,9,7,0.1562049062049062
2b3acc,2,1,0.42857142857142866
b6b0bc,6,5,0.15977443609022557
471dc4,1,1,0.4841750841750841
370ed2,1,1,0.3043771043771042
0120ca,8,7,0.14638157894736842
fd661b,6,5,0.15977443609022557
040e35,3,3,0.2789473684210526
f9f593,8,7,0.14638157894736842
284589,8,7,0.14638157894736842
3dc582,2,1,0.42857142857142866
f51262,8,7,0.14638157894736842
579308,6,5,0.15977443609022557
5dd713,8,7,0.14638157894736842
6e13f1,8,7,0.14638157894736842
83b69a,1,1,0.4841750841750841
f22ac9,6,5,0.15977443609022557
c5bf11,1,1,0.4841750841750841
be9b1d,6,5,0.15977443609022557
df32a1,2,1,0.42857142857142866
9990e3,8,7,0.14638157894736842
1553ee,4,3,0.16900093370681604
8c9143,2,1,0.42857142857142866
78cf67,4,3,0.16900093370681604
e09316,9,7,0.1562049062049062
fc6934,6,5,0.15977443609022557
45342d,6,5,0.15977443609022557
99089e,6,5,0.15977443609022557
e49512,1,1,0.4841750841750841
10b45b,6,5,0.15977443609022557
181dbe,3,3,0.2789473684210526
bda7e6,6,5,0.15977443609022557
43dfde,4,3,0.16900093370681604
4ed39c,6,5,0.15977443609022557
93fe1f,8,7,0.14638157894736842
ade743,9,7,0.1562049062049062
